0,1,2,3,4,5,6,7,8
GBP,,,,,,,,
GBP,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (GBP),,AMOUNT REFUNDED (GBP),,
,,Dec-24,Dec-23,Dec-24,Dec-23,Dec-24,Dec-23,
1,Pending complaints B/F,2,-,-,-,-,-,
2,Received Complaints,257,328,"56,973,907","1 48,854,482",-,-,
3,Resolved complaints,259,326,"56,973,907","1 48,854,482",-,-,
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",-,2,-,-,-,-,
EUR,,,,,,,,
EUR,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (EUR),,AMOUNT REFUNDED (EUR),,
,,Dec-24,Dec-23,Dec-24,Dec-23,Dec-24,Dec-23,
1,Pending complaints B/F,-,0,-,-,-,-,
2,Received Complaints,401,335,"2 68,583,254","9 ,884,450",-,-,
3,Resolved complaints,401,335,"2 68,583,254","9 ,884,450",-,-,
4,"Unresolved Complaints
escalated to CBN for
intervention",0,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",-,-,-,-,-,-,
"Solicited Customer Feedback
Deliberate efforts are made to solicit feedback from customers and staff on the services and produ
of the bank through the following:
- Questionnaires
- Customer interviews
- Customers forum
- Quest for Excellence Sessions (for staff)
- Voice of Customer Surveys
The various feedback efforts are coordinated by our Service and innovation Group
The feedback obtained from customers are reviewed and lessons learnt are used for staff training
service improvement across the bank.",,,,,,,,
