0,1,2,3,4,5,6,7,8
,Education,,,Support for Book reading session at the You Read Library for children’s day,,,"2,538,785",
"Sponsorship for School Sports 2,100,000",,,,,,,,
,,,,Support for Children's Day Initiative,,,"1,495,710",
"Support for School Extra Curricular Activities 14,071,225",,,,,,,,
,,,,Support for Polo sports Tournament,,,"60,415,000",
Support for the World Savings day,,,,,,"839,780",,
,,,,Support for chess week,,,"2,000,000",
Support for charity art exhibition by Visual arts child prodigy,,,,,,"2,000,000",,
,,,,Support for Lagos old student association,,,"5,000,000",
Others Others,,,,,,"1,757,500",,
,Grand Total,,,,,,"962,623,489",
