0,1,2,3,4,5,6,7,8
SECTOR,,,BENEFICIARY/PROJECT,,,AMOUNT (₦),,
"Community
Support for 43rd annual international scientific conference 2,000,000
Development",,,,,,,,
,,,,Support for climate summit,,,"1,000,000",
Support for housing exhibition,,,,,,"5,000,000",,
,,,,Support for Punuka Foundation Annual Walk for Special Children,,,"2,350,000",
Support for security,,,,,,"100,000,000",,
,,,,Support for the cause of raising awareness about consumer rights and,,"1,000,000",,
,,,,needs,,,,
Support for the special needs community cause,,,,,,"2,000,000",,
,,,,Provision of healthcare in partnership with Swiss Red Cross,,,"140,610,510",
Support for wellness wonderland,,,,,,"1,000,000",,
,,,,Support to the CIC Alumni foundation,,,"500,000",
Support for National Conference by APKMN,,,,,,"2,000,000",,
,,,,Annual Autism Program (The Orange Ribbon Initiative),,,"208,697,110",
Support for the 17th Annual Banking & Finance Conference,,,,,,"40,000,000",,
,,,,Support for the Institute of Chartered Secretaries and Administrators of,,"2,000,000",,
,,,,Nigeria (ICSAN),,,,
Support for the vocational centre at Amuwo Odofin,,,,,,"3,000,000",,
,,,,Financial Literacy and Public Enlightment Awareness Campaign by Bankers,,"40,886,583",,
,,,,Committee.,,,,
Support for Flood Disaster in Borno State,,,,,,"25,000,000",,
,,,,Support for the Global Economic Summit,,,"1,000,000",
Support for optimal orphanage home,,,,,,"2,000,000",,
,,,,Support for Lagos PR Summit,,,"2,000,000",
Support for Transportation,,,,,,"250,000,000",,
,,,,Association of Professional Women Bankers,,,"2,000,000",
Support for bankers committee retreat,,,,,,"6,361,286",,
,,,,Support for annual banking dinner,,,"15,000,000",
Support for 2024 Nigerian Red Cross Gala Night.,,,,,,"15,000,000",,
