0,1,2,3,4,5,6,7,8
"16 Income tax
Group Group Company Company
December 2023 December 2022 December 2023 December 2022
In millions of Naira
Current tax expense",,,,,,,,
"Corporate income tax 76,008",,,,,"16,390
5,843
1,627
-
25
10
407
-",,"1,905
-
2
203
-
3
-
-",
,Minimum tax,"7,195",,,,,,
"IT tax 5,693
Education tax 203
Capital gains tax 163
Police fund tax levy 32
National Agency for Science and Engineering Infrastructure levy 1,423
Prior period’s under provision 168",,,,,,,,
"90,885 24,302
Deferred tax expense/utilization",,,,,,,"2,113",224
,,,,,,,-,
Origination of temporary differences,,,"18,792",,"(9,524)",,,
"Income tax expense 109,677 14,778",,,,,,,"2,113",152
"1,541 (539) - -
Items included in OCI",,,,,,,,
,Total income tax expense,"111,218 1 4,239 2,113 152",,,,,,
"There has been some changes to the Company Income tax brought about by the New Finance Act. this addresses the areas of losses of a capital nature, expenses incurred for the purpose of
deriving tax-exempt income, taxes or penalties borne on behalf of another person and other changes as can be seen from the standard
The computation of the Company's’s income tax expense and deferred tax was carried out in accordance with the Finance Act, CITA and other relevant tax laws. The changes made by the
new act was incorporated in the Company tax computation and it is believed by the management of the Company that there is no uncertainty over its Income and Deferred tax treatment
that relevant tax authorities may disagree with.
The movement in the current income tax liability is as follows:
Group Group Company Company
December 2023 December 2022 December 2023 December 2022",,,,,,,,
"Balance at the beginning of the year 5,594 4,643",,,,,,,"224
-
(58)
2,113
(79)",-
,Acquired from business combination,- 772,,,,,,-
"Tax paid (69,462) (20,511)
Income tax charge 90,717 24,302
Prior period’s under/excess provision 168 -
Withholding tax utilization (1,547) (1,800)
Translation adjustments (1,819) (1,812)
Income tax receivable 867 -
Balance at the end of the year 24,518 5,594",,,,,,,,"-
224
-
-
-
224"
,,,,,,,"2,200",
"Income tax liability is to be settled within one year
Income tax for the Bank has been assessed under the minimum tax regulation.
Group Group Group Group
In millions of Naira December 2023 December 2023 December 2022 December 2022
Profit before income tax 729,001 167,680
Income tax using the domestic tax rate 30% 2 18,700 30% 50,304
Effect of tax rates in foreign jurisdictions 2% 18,195 0% -",,,,,,,,
"Information technology tax 1%
Unutilized deferred tax asset -15%
Non-deductible expenses 4%
Tax exempt income -8%
Effect of prior period underprovision 0%
Education tax levy 0%",,,,,"5,693
(109,620)
2 8,876
( 61,349)
168
203
163
-
-
7,195
1 ,423
32","1% 1,627
0% -
27% 45,524
-57% (95,827)
0% -
0% 25",,
,"Capital gain tax
Origination and reversal of temporary def
Company income Tax","0%
erred tax differences 0%
0%",,,,"0% -
-6% (9,524)
10% 1 6,390",,
"Minimum tax effect 1%
National Agency for Science and Engineering Infrastructure levy 0%
Nigerian Police fund levy 0%",,,,,,"3% 5 ,843
0% 4 07
0% 1 0",,
"Effective tax rate 15% 1 09,677 9% 1 4,778
Company Company Company Company
December 2023 December 2023 December 2022 December 2022
In millions of Naira
Profit before income tax 6 1,729 3 1,684
Income tax using the domestic tax rate 30% 18,519 30% 9 ,505
Information technology tax 0% - 0% -
Non-deductible expenses 3% 2,057 4% 1 ,138
Tax exempt income -30% ( 18,584) -34% (10,643)
Education tax levy 0% 203 0% 25
Capital gain tax 0% - 0% -
National Agency for Science and Engineering Infrastructure levy 0% - 0% -
Nigerian Police fund levy 0% 3 0% 2",,,,,,,,
,"Unutilized deferred tax asset -3% (1,990) 0% (72)
Company income Tax 0% - 0% -
Minimum tax effect 3% 1 ,905 1% 1 97",,"-3% (1,990) 0% (72)",,,,,
,,"0% - 0% -
3% 1 ,905 1% 1 97",,,,,,
"Effective tax rate 3.4% 2,113 0.5% 152
Current income tax liabilities are due within 12 months from the year end date",,,,,,,,
