0,1,2,3,4,5,6,7,8
"ii Lease liabilities
Group",,,,,,,,
,,,,,,,Company,
"Opening balance as at 1 January 2022
Acquired from business combination
Additions
Interest expense
Lease payments
Leases terminations in the year
*Derecognition due to lease modifications
Translation difference
Closing balance as at 31 December 2022
Current lease liabilities
Non-current lease liabilities",,,,,"N'm N'm
15,306 -
425 -
1,196 -
1,424 -
(4,899) -
- -
(562) -
(816) -
1 2,075 -
2,168 -
9,908 -
1 2,075 -",,,
iii) Liquidity risk (maturity analysis of undiscounted lease liabilities),,,,,,,,
Group,,,,,,,Company,
"N'm N'm
Less than 6 months N'millions -
6-12 months 731 -
Between 1 and 2 years 1,453 -
Between 2 and 5 years 1,967 -
Above 5 years 3,900 -
Closing balance as at 31 December 2023 8,052 -",,,,,,,,
Carrying amount,,,,,"16,678 -",,,
,,,,,,,,
"*This relates to lease contracts that were modified during the year, subsequently derecognized and new contracts were drawn up to represent the new leases
( g) Included in the creditors, from subsidiary balance are shares due to employees of the Company that were previously settled by the Group with a value of N9.02Bn
3 5 Debt securities issued Group Group Company Company
December 2023 December 2022 December 2023 December 2022
In millions of Naira",,,,,,,,
,,,,,,,,
"Debt securities at amortized cost:
Eurobond debt security (see (i) below) 481,138 232,651 - -",,,,,,,,
"Green GBroeennd Bond (see (ii) below)
Local BLoocnadl Bond (see (iii) below)",,,"64,382
35,549","38,871 - -
35,730 - -",,,,
"Debentures (see (iv) below) 3,955 0 - -
585,024 307,253 - -
Movement in Debt securities issued:",,,,,,,,
,,,,,,Group Company,,
"In millions of Naira December 2023 December 2023
Net debt as at 1 January 2023 307,253 -
Debt securities issued - -
Repayment of debt securities issued - -
Total changes from financing cash flows 307,253 -
The effect of changes in foreign exchange rates 275,167 -
Other changes
Interest expense 30,364 -
Interest paid (27,760) -
Balance as at 31 December 2023 5 85,024 -
Group Company
In millions of Naira December 2022 December 2022",,,,,,,,
,,,,,,,,
"Net debt as at 1 January 2022 264,495 -
Arising from business combination - -
Debt securities issued 21,887 -
Total changes from financing cash flows 286,382 -
The effect of changes in foreign exchange rates 18,852 -
Other changes
Interest expense 22,816 -
Interest paid (20,797) -
Balance as at 31 December 2022 307,253 -
(i) This refers to US$500,000,000 notes of 6.13% interest issued on 21 September 2021 with a maturity date of 21 September 2026. The principal amount is payable at maturity, whilst coupon due is
payable on a semi-annual basis.
(ii)The Bank issued an unsecured green bond of N15bn on March, 18, 2019 with a coupon rate of 15.5% payable semi-annually. The bond has a tenor of 5 years and is due on March, 2024. In 2022, the Bank
issued a puttable Senior unsecured USD$50,000,000 Step-Up Green Notes on May 3, 2022 with a coupon rate of 5.50% and 7.25% at put option date (May 3, 2024) payable semi-annually. The bond has a
tenor of 5 years and is due on May, 2027.
(iii) Access Bank Plc issued a local bond of N30bn on July, 4, 2019 with a coupon rate of 15.5% payable semi-annually. The bond has a tenor of 7 years and is due on July, 2026. The principal amount on the
notes are payable at maturity, whilst interest is payable on a semi-annual basis at their respective interest rates.
(iv) Access South Africa issued a Tier II subordinated convertible debenture of 183mn South African Rand on June, 30, 2021 with a coupon rate of 2% above 6 months JIBAR payable semi-annually. The
bond has a tenor of 5 years and is due on September, 2026. The Bonds have a call option date of 1st July, 2026 and the issuer's call is subject to supervisory's approval.",,,,,,,,
