0,1,2,3,4,5,6,7,8
,January - December 2024,,,,,,,
,Category,Frequency,,Amount Involved (N'M),Actual Loss (N'M),% Loss,,
,,,,,,,,
,Electronic Fraud,"29,322",,"4,493",805,18%,,
,Cash Theft/Suppression,5,,3,2,66%,,
,,,,,,,,
,Fraudulent Withdrawal,8,,27,10,38%,,
,Fraudulent Transfer,12,,356,314,88%,,
,Bribery / Gratification,2,,0,-,0%,,
,Cash Diversion,1,,0,-,0%,,
,Fraudulent Account Opening,1,,5,5,100%,,
,Cash Theft,4,,5,3,64%,,
,Dry Posting,3,,14,-,0%,,
,Diesel Theft,1,,0,-,0%,,
,,,,,,,,
"Totals 29,359 4,904 1,140 23%",Totals,"29,359",,"4,904","1,140",23%,,
,,,,,,,,
By Order of the Board,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Bili A. Odum
Group Company Secretary/Legal Counsel,
57 Marina, Lagos
FRC/2013/NBA/00000001954",,,,,,,,
