0,1,2,3,4,5,6,7,8
,,,,,,,,
"CUSTOMER COMPLAINTS AND FEEDBACK
AccessHoldingsPlcisfullycommittedtoitscorevalueof‘passionforcustomers.Thegrouppridesitselfonprovidingexceptionalservicestocustomersatalltimes.Atthesametime,giventhe
numberandcomplexityoffinancialtransactionsthattakeplaceeveryday,theGrouprecognizesthattherewillinevitablybeoccasionswhenmistakesandmisunderstandingsoccur.Inthese
situations,AccessbankencouragescustomerstobringtheirconcernstotheattentionoftheGroupforpromptresolution.Inaddition,deliberateeffortsaremadetosolicitcustomers’feedback
on its products and services.
Complaints Channels
In order to facilitate seamless complaint and feedback process, the bank has provided various channels for customers. These include:
- 24 hour contact centre with feedback through emails, telephone, SMS, Livechat, Social Media etc.
- Feedback portal on the Bank's website
- Customer service desks in over 300 branches and toll-free telephone lines to the office of the Group Managing Director in the banking halls of key branches.
- Correspondence from customers
- The Voice of Customer Solution
- The Ombudsman desk
Complaints Handling
Wehandlecustomercomplaintswithsensitivityandindueregardfortheneedsandunderstandingofeachcomplainant.Effortsaremadetoresolvecustomer’scomplaintsatfirstlevel.Where
this cannot be done, they are immediately referred to the appropriate persons for resolution. All complaints are logged and tracked for resolution and feedback is provided to the customer.
Resolve or Refer command Centre
The‘ResolveorRefer’commandcentreservestoencouragetimelyservicedeliveryandFirstTimeResolution(FTR)ofcustomerissues.The‘ResolveorReferCommandCentre’whichisbeing
runbyaseniormanagementstaffhasthemandatetoensurethatmostcustomerissuesareresolvedsameday.Thecommandcentreprovidessupporttoallourdepartmentsandbrancheson
issue resolution.
Complaints Tracking and Reporting
Wediligentlytrackcomplaintinformationforcontinuousimprovementofourprocessesandservices.Anindependentreviewoftherootcauseofcomplaintsmadeiscarriedoutandlessons
learntarefedbacktotherelevantbusinessunitstoavoidfuturerepetition.CustomercomplaintmetricsareanalysedandreportspresentedtoExecutiveManagementandtheOperationalRisk
Management committee. Reports on customer complaints are also sent to the Central bank as required.",,,,,,,,
,,,,,,,,
ACCESS BANK PLC CUSTOMER'S COMPLAINTS FOR THE YEAR ENDED 31 DECEMBER 2024,,,,,,,,
NAIRA,,,,,,"AMOUNT
REFUNDED
(NAIRA)
Dec-24 Dec-23
- -
- -
1,350,494,760 2 ,068,124,494
- -
- -",,
NAIRA,,,,,,,,
S/N,DESCRIPTION,NUMBER,,"AMOUNT CLAIMED
(NAIRA)",,"AMOUNT
REFUNDED
(NAIRA)",,
,,Dec-24,Dec-23,Dec-24,Dec-23,Dec-24,Dec-23,
1,Pending complaints B/F,"33,382","5,874","28,479,861,074","1 4,868,818",-,-,
2,Received Complaints,"3,205,348","5,091,189","4 72,932,147,342","301,508,453,504",-,-,
3,Resolved complaints,"3,214,307","5,063,681","485,419,205,995","2 73,043,461,247","1,350,494,760","2 ,068,124,494",
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F","24,423","33,382","15,992,802,422","28,479,861,074",-,-,
USD,,,,,,,,
USD,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (USD),,AMOUNT REFUNDED (USD),,
,,Dec-24,Dec-23,Dec-24,Dec-23,Dec-24,Dec-23,
1,Pending complaints B/F,768,244,"182,738,669","1 ,433,914",-,-,
2,Received Complaints,20311,"28,801","8,395,757,162","2,792,919,034",-,-,
3,Resolved complaints,20510,"28,277","8,468,170,988","2 ,611,614,279","1,374","2,161",
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",569,768,"110,324,843","182,738,669",-,-,
,,,,,,,,
